Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
22/11/2017,"TANEY LODGE, TANEY RD, DUBLIN 14",Dublin,,"€475,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/07/2017,"84 POLEBERRY ST, WATERFORD, WATERFORD",Waterford,,"€124,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2017,"Meenclogher, Killygordon",Donegal,,"€125,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/04/2017,"140 THE STRAND, ENNIS RD, LIMERICK",Limerick,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/09/2017,"CLAGGAN, KILMEENA, WESTPORT",Mayo,,"€287,500.00",No,No,Second-Hand Dwelling house /Apartment,
08/11/2017,"17 BALLYGALL PLACE, FINGLAS EAST, DUBLIN 11",Dublin,,"€218,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2017,"BALLYWILLIAM, RATHKEALE, LIMERICK",Limerick,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2017,"13 MALINMORE COTTAGES, GLENCOLMCILLE, CO DONEGAL",Donegal,,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2017,"1 GROVE AVE, MALAHIDE, DUBLIN",Dublin,,"€1,550,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/04/2017,"Apartment 81 Neptune Block, Honeypark, Dun-Laoghaire",Dublin,,"€484,581.50",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
04/09/2017,"113 SEAPARK, MOUNT PROSPECT AVE, CLONTARF DUBLIN 3",Dublin,,"€307,500.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2017,"27 bishop's gate, Kilternan",Dublin,,"€372,246.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
19/09/2017,"20 RIVERSIDE APTS, DISTILLERY RD, WESTPORT",Mayo,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/11/2017,"1 The Deaconary, Moynalty Road, Kells",Meath,,"€430,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/03/2017,"66 GLASLYN, HOWTH RD, DUBLIN",Dublin,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2017,"HAWTHORN COTTAGE, NAVIGATION ROAD, MALLOW",Cork,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/01/2017,"39 CAISLEAN NUA, GOLF LINKS ROAD, CASTLETROY",Limerick,,"€372,559.46",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
11/12/2017,"24 GARDEN VILLAGE DR, KILPEDDER, WICKLOW",Wicklow,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/01/2017,"8 BRUDGE ST, STROKESTOWN, ROSCOMMON",Roscommon,,"€62,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2017,"KILLEENMORE, SALLINS, KILDARE",Kildare,,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2017,"14 OLDTOWN PARK, SANTRY, DUBLIN 9",Dublin,,"€93,118.56",Yes,No,Second-Hand Dwelling house /Apartment,
28/08/2017,"APT 47, BLOCK B, CITY GATE",Sligo,,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/06/2017,"40 THE GROVE BETTYGLEN, RAHENY DUBLIN 5, DUBLIN",Dublin,,"€536,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/05/2017,"51 PIER 19, BRIDGEFOOT STREET, DUBLIN 8",Dublin,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/08/2017,"11 GLENAVY PARK, TERENURE, DUBLIN 6W",Dublin,,"€885,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2017,"8 ASHTON AVE, SWORDS, DUBLIN",Dublin,,"€262,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/09/2017,"30 BEECHWOOD PARK, TINAHELY, WICKLOW",Wicklow,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"SMEAR, AUGHNACIFF, CO LONGFORD",Longford,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/06/2017,"6 TRALEE MARINA, TRALEE, KERRY",Kerry,,"€39,692.00",No,No,Second-Hand Dwelling house /Apartment,
13/04/2017,"27 The Avenue, Carrickmines Green, Glenamuck Road",Dublin,,"€405,286.34",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/02/2017,"15, CLONMACNOISE ROAD, CRUMLIN DUBLIN 12",Dublin,,"€116,100.00",Yes,No,Second-Hand Dwelling house /Apartment,
28/03/2017,"CULLENAGH, FERMOY, CORK",Cork,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2017,"6 BROOKVIEW, ARKLOW, CO WICKLOW",Wicklow,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2017,"Drumbarnet, Bogay, Newtowncunningahm",Donegal,,"€23,500.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/07/2017,"35 RATHMORE, CHURCHILL MEADOWS, RAHEEN",Limerick,,"€20,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
14/09/2017,"BRANDON, GREENS HILL, GREENHILL",Kilkenny,,"€550,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2017,"PIPERS POINT, BENROW, TOWNASLIGO",Donegal,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2017,"88 FAIRLAWN RD, FINGLAS, DUBLIN",Dublin,,"€165,500.00",No,No,Second-Hand Dwelling house /Apartment,
16/04/2017,"121 RIVER OAKS, CLAREGALWAY, GALWAY",Galway,,"€308,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2017,"15 Dodderbrook Park, Dodderbrook, Old Court Road",Dublin,,"€365,638.76",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
26/06/2017,"61 THE PINES, VENETIAN HALL, KILLESTER DUBLIN 5",Dublin,,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/07/2017,"20 SEAN MHUILEANN, BALLINODE, MONAGHAN",Monaghan,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2017,"4 Elm Court, Maynooth Road, Celbridge",Kildare,,"€290,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/07/2017,"1 ROCKBORO TERRACE, OLD BLACKROCK RD, CORK",Cork,,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/07/2017,"18 BAYVIEW COURT, KILLINEY, DUBLIN",Dublin,,"€394,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/10/2017,"RAHEEN, CLONROCHE, ENNISCORTHY",Wexford,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/11/2017,"25 HILLVIEW, RHODE, OFFALY",Offaly,,"€130,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
28/03/2017,"MUCKANAGH, GLASSON, ATHLONE",Westmeath,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2017,"7 PAIRC NA NEAN, RATHCORMAC, CO CORK",Cork,,"€200,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
23/06/2017,"6 Blacnkberrry Hill, Glenamuck Road, Carrickmines",Dublin,,"€572,687.22",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/09/2017,"16 PARKLANDS PLACE, MAYNOOTH, KILDARE",Kildare,,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2017,"RIVER ST, CLARA, OFFALY",Offaly,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2017,"4 THE DRIVE, MILLMOUNT ABBEY, DROGHEDA",Meath,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2017,"29 THE HAMPTON, ST PAPPINS ST, BALLYMUN DUBLIN 9",Dublin,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/02/2017,"17 Abbot's Grove Avenue, Knocklyon",Dublin,,"€332,160.01",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
16/06/2017,"27 WOODLANDS, GREYSTONES, CO WICKLOW",Wicklow,,"€935,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2017,"16 LEO STREET, NORTH CIRCULAR ROAD, DUBLIN 7",Dublin,,"€349,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2017,"44 HARELAWN DR, CLONDALKIN, DUBLIN 22",Dublin,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2017,"THE OIL, OYLEGATE, WEXFORD",Wexford,,"€184,417.00",No,No,Second-Hand Dwelling house /Apartment,
23/06/2017,"FLAT 1, 87 RATHGAR ROAD, RATHGAR",Dublin,,"€875,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2017,"97 LISNENNAN COURT, LETTERKENNY, DONEGAL",Donegal,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2017,"20 Thorndale, Delgany, County Wicklow",Wicklow,,"€477,893.80",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/12/2017,"LAURELVILLE, OAKPARK RD, TRALEE",Kerry,,"€144,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
29/09/2017,"50B THE BOTTLEWORKS, DERMOT OHURLEY AVE, DUBLIN 4",Dublin,,"€370,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2017,"31 CLUAIN AN OIR, BELGOOLY, CORK",Cork,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/08/2017,"GORTATLEA, BALLYMACELLIGOTT, TRALEE",Kerry,,"€317,470.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2017,"6 MCCURTAIN ST, CLONES, MONAGHAN",Monaghan,,"€21,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/05/2017,"2 Brookfield Mews, Brookfield Terrace, Blackrock",Dublin,,"€845,815.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
03/03/2017,"Apartment 124 Neptune Block, Honeypark, Dun-Laoghaire",Dublin,,"€352,422.90",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/10/2017,"MILITARY ROAD, CRINKLE, BIRR",Offaly,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/05/2017,"4 GLEN RUA, KILLYCLUG, LETTERKENNY",Donegal,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/09/2017,"38 CARRIGMORE EST, CARRIGALINE, CORK",Cork,,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/10/2017,"93 CLUAIN RI, ASHBOURNE, CO MEATH",Meath,,"€177,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2017,"72 CNOC AN OIR, RAHOON, GALWAY CITY",Galway,,"€225,150.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2017,"GLENS BRIDGE, NORTH GLENS, DINGLE",Kerry,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2017,"7 BERKELEY CLOSE, COLLEGE COURT, CASTLETROY",Limerick,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2017,"35 Manor Road, Manor Farm, Lehenaghbeg",Cork,,"€235,198.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/03/2017,"STONELEIGH, 44 PASSAGE ROAD, WATERFORD",Waterford,,"€257,155.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2017,"2 FIRST LANE, LAHINCH, CLARE",Clare,,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2017,"64 Summerseat Avenue, Clonee, Co Meath",Meath,,"€189,427.31",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/04/2017,"13 THE ROAD, FOX LODGE WOODS, RATOATH",Meath,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2017,"55 TEMPLE HALL, MOUNT ST ANNES, MILLTOWN ROAD",Dublin,,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2017,"90 CABRA PARK, PHIBSBOROUGH, DUBLIN 7",Dublin,,"€427,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"20 FERNHILL, ARKLOW, WICKLOW",Wicklow,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/08/2017,"LYREFUNE, BALLYPOREEN, CO TIPPERARY",Tipperary,,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/02/2017,"CLOUGHMORE HOUSE, FAIRYHOUSE RD, RATOATH",Meath,,"€306,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/07/2017,"26 GLENPATRICK, CARRICK ON SHANNON, LEITRIM",Leitrim,,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/05/2017,"CLOONFAD, TIBOHINE, CASTLEREA",Roscommon,,"€64,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/01/2017,"AISLING, DRUMMAUNROE, CARRICK ON SHANNON",Leitrim,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/06/2017,"53 CAISLEAN NA RI, GOLDEN RD, CASHEL",Tipperary,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/05/2017,"27 Dodderbrook Avenue, Dodderbrook, Oldcourt Road",Dublin,,"€295,154.18",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
11/10/2017,"TONREGEE, DUNKINEELY, DONEGAL",Donegal,,"€177,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2017,"RICHILL, LISNAGRY, CO. LIMERICK",Limerick,,"€62,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/05/2017,"13 ST ITAS TERRACE, ST ITAS RD, NEWCASTLE WEST",Limerick,,"€67,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/04/2017,"7 THE AVENUE, CASTLEJANE WOODS, GLANMIRE",Cork,,"€520,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2017,"16 AUGHRIM HOLIDAY VILLAGE, AUGHRIM, HOLIDAY VILLAGE",Wicklow,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/04/2017,"COOLAGH BRIDGE, NEWMARKET, COUNTY CORK",Cork,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/05/2017,"42 Ryebridge Green, Kilcock",Kildare,,"€264,317.17",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
31/03/2017,"28 GLEANN NA COILLE, BARNA RD, GALWAY",Galway,,"€306,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2017,"42 WESTON MEADOW, WESTON PARK, LUCAN",Dublin,,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2017,"CAVAN RD, BALLINAGH, CAVAN",Cavan,,"€57,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2017,"51 GLENAAN RD, WHITEHALL, DUBLIN 9",Dublin,,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/04/2017,"6 BETTYSTOWN, EASTHAM RD, MEATH",Meath,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2017,"2 BEECH RD, BRAY, CO WICKLOW",Wicklow,,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/03/2017,"182 REDFORD PARK, GREYSTONES, WICKLOW",Wicklow,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/09/2017,"75 COLLEGE AVE, MOUNTMELLICK, LAOIS",Laois,,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2017,"2 THE MEWS, THE AVENUE, GOREY",Wexford,,"€159,600.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2017,"APT 1 GROUND FLOOR, 63 LOWER DRUMCONDRA ROAD, DUBLIN 9",Dublin,,"€630,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/02/2017,"CHURCH ST, DUNLAVIN, WICKLOW",Wicklow,,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2017,"11 NEW TERRACE, PALLASKENRY, LIMERICK",Limerick,,"€99,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/04/2017,"BUTLERSGRANGE, TULLOW, CO CARLOW",Carlow,,"€127,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/05/2017,"DERRYNALECK, KILKELLY, CO MAYO",Mayo,,"€49,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2017,"15 MOUNT PROSPECT LAWNS, CLONTARF, DUBLIN 3",Dublin,,"€750,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2017,"356 COLLINSWOOD, BEAUMONT, DUBLIN 9",Dublin,,"€403,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/08/2017,"10 Roseland Avenue, Cualanor, Upper Glenageary Road",Dublin,,"€339,500.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
14/08/2017,"60 SWEETMAN HOUSE, THE COAST, BALDOYLE DUBLIN 13",Dublin,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2017,"19 BRENDAN ROAD, DONNYBROOK, DUBLIN 4",Dublin,,"€1,250,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2017,"RETFORD HOUSE, 28 HAMPTON ST, BALBRIGGAN",Dublin,,"€470,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/05/2017,"8 HOLLYMOUNT HOUSE, DENMARK ST, LIMERICK",Limerick,,"€77,812.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2017,"43 ROSSDARRAGH GLEN, RATHEVEN, PORTLAOISE",Laois,,"€137,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/10/2017,"60 CARRIGANARRA, BALLINCOLLIG, CORK",Cork,,"€268,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2017,"THE BIRCHES, IONA ROAD, LETTERKENNY",Donegal,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2017,"58 STATION HOUSE, WATERWAYS, SALLINS",Kildare,,"€126,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2017,"25 THE SYCAMORE, ELMFIELD, BALLYOGAN DUBLIN 18",Dublin,,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/04/2017,"104 DUNARAS, BISHOP ODONNELL RD, GALWAY",Galway,,"€142,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2017,"GOWLANE NORTH, DONOUGHMORE, CORK",Cork,,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2017,"12 WHITEHILL, MUFF, DONEGAL",Donegal,,"€103,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/05/2017,"401 QUAY MILLS, KILRUSH, CO CLARE",Clare,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2017,"47 ANNEVILLE CRESENT, WINDMILL RD, DROGHEDA",Louth,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2017,"APT 85 BLOCK D, NORTH BANK, CASTLEFORBES RD DUBLIN 1",Dublin,,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2017,"11 O CONNELL COURT, CLONMEL, TIPPERARY",Tipperary,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/10/2017,"110 BELFRY HALL, CITYWEST RD, CITYWEST DUBLIN 24",Dublin,,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/05/2017,"CARRABEG, NEWTOWNFORBES, LONGFORD",Longford,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2017,"8 COURTYARD, MULRANNY, MAYO",Mayo,,"€71,350.00",No,No,Second-Hand Dwelling house /Apartment,
02/03/2017,"GLEN COTTAGE, GLENCULLEN, KILTERNAN",Dublin,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2017,"17 ABBOT CLOSE, ASKEATON, CO LIMERICK",Limerick,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/10/2017,"1 FATIMA AVENUE, SLIGO",Sligo,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2017,"THE COTTAGE, MILANE, DUNMANWAY",Cork,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/09/2017,"66 MARLBOROUGH RD, DONNYBROOK, DUBLIN 4",Dublin,,"€1,195,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/10/2017,"MIDDLE HOUSE, BALLYKNOCK, BALLYNOE",Cork,,"€199,950.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2017,"78 HOLYWELL, UPPER KILMACUD ROAD, DUNDRUM",Dublin,,"€542,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/09/2017,"9 BELFRY PLACE, CITYWEST RD, TALLAGHT DUBLIN 24",Dublin,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/11/2017,"THE COTTAGE, BOYLE RD, GURTEEN",Sligo,,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"2 PRIMROSE COTTAGE, BALLYHAUNIS, MEATH",Mayo,,"€48,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/11/2017,"50 KILDARE RD, CRUMLIN, DUBLIN 12",Dublin,,"€287,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/06/2017,"6 BROOMHALL AVE, RATHNEW, WICKLOW",Wicklow,,"€385,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2017,"8 SANTRY COURT, OFF COOLOCK LANE, SANTRY DUBLIN 9",Dublin,,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/04/2017,"GARRANES, CAHERMORE, BEARA",Cork,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2017,"6 HAWTHORN RD, BALLINASLOE, GALWAY",Galway,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/11/2017,"22 CASTLE HILL, ROCK RD, CARRIGALINE",Cork,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/02/2017,"1 LARAGH, HAMPTON ST, BALBRIGGAN",Dublin,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/05/2017,"157 CHARLEMONT, GRIFFITH AVE, DUBLIN 9",Dublin,,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2017,"104 GRANGE VIEW RD, CLONDALKIN, DUBLIN 22",Dublin,,"€215,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
31/08/2017,"6 ST MICHEALS DR, MAHON, BLACKROCK",Cork,,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2017,"26 HIGGINSTOWN WOODS, GRANARD, LONGFORD",Longford,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/09/2017,"KILRANE, ROSSLARE HARBOUR, CO WEXFORD",Wexford,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/08/2017,"CASTLETOWN, CARROWMORE, LACKEN",Mayo,,"€161,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2017,"8 CEDAR CRESCENT, BALLYLEARY, COBH",Cork,,"€194,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/09/2017,"APARTMENT 1, OLD COURT BARRACKS, MARKET SQUARE",Wicklow,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/04/2017,"1 O'DONOGHUE STREET, INCHICORE, DUBLIN 8",Dublin,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2017,"6 CASTLELYON GREEN, NEWCASTLE, DUBLIN",Dublin,,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/11/2017,"CLIFFONEY, COUNTY SLIGO",Sligo,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/01/2017,"GAYBROOK, MULLINGAR, WESTMEATH",Westmeath,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/08/2017,"44A THE GATEWAY, BALLYMUN, DUBLIN 11",Dublin,,"€104,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2017,"5 The Park, The Paddocks, Hansfield",Dublin,,"€281,900.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
13/04/2017,"No.2 Carraig Nua, Upper Clybaun Road, KNOCKNACARRA",Galway,,"€321,585.90",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
24/04/2017,"20 CLONLEIGH PARK, LIFFORD, COUNTY DONEGAL",Donegal,,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/02/2017,"12 MEADOW DRIVE, HOLLYHILL, CORK",Cork,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2017,"9 Millbrook Lawn, Liscorrie  Bog Lane, Drogheda",Louth,,"€238,750.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/10/2017,"33 HAVELOCK SQ, SANDYMOUNT, DUBLIN 4",Dublin,,"€800,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/05/2017,"GLENALLEY HOUSE, GLENALLEY ROAD, GREENCLOYNE",Cork,,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/02/2017,"3 FERNDALE, CAIRNS RD, SLIGO",Sligo,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2017,"17 Elder Heath Park, Elder Heath, Kiltipper Road",Dublin,,"€251,101.32",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/03/2017,"4 MEADOW COURT STEPASIDE PARK, STEPASIDE, DUBLIN",Dublin,,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2017,"528N, Longboat Quay North, Sir John Rogerson's Quay",Dublin,,"€570,000.00",No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/09/2017,"9 CRESTWOOD PARK, ASHBOURNE, CO MEATH",Meath,,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/07/2017,"10 Tullyhall Mews, Lucan",Dublin,,"€281,938.32",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
21/12/2017,"1 Sandycove, Rossnowlagh",Donegal,,"€118,943.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/04/2017,"PRISON SOUTH, BALLA, COUNTY MAYO",Mayo,,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2017,"24A THOMOND VILLAGE, OLD CRATLOE RD, THOMOND VILLAGE",Limerick,,"€40,500.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2017,"1 HAWTHORN DR, TULLOW, CARLOW",Carlow,,"€182,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2017,"29 Crenigan's Banog, Milltown Road, Ashbourne",Meath,,"€303,965.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
01/09/2017,"11 HAND PARK, RUSH, DUBLIN",Dublin,,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/04/2017,"70 Drury Mills, Saggart, County Dublin",Dublin,,"€301,718.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
